"","Country.Code","Year","agriculture","femaleminister","femaleparliament","carework","cleanfuel","corruption","electricity","exports","fdi","fossil","goveffectiveness","grosscapital","grosscapitalprivate","industry","internet","militaryexpenditure","mobilecellular","netmigration","outofpocket","outofschool","research","resourcerents","savings","selfemployed","services","trade","transportquality","unemployed","urbanlevel","urbanrate","wageworker","govexp","ecirank","homicide","patents","stability","gini","concentration","ethnic","divorce","unvotes","ideology","prison","wealth","femaleincome","onepcwealth","onepcincome","wealthincome","lifeexpectancy_over_energy"
"4432","SVK",1981,12.8451805818336,16.6314521969831,16.8167078337955,18.1753484646902,62.7475370924695,-0.171516800091198,79.3082247148892,43.1476190596026,5.90642983530308,89.6470382315618,-0.1592085417987,24.1695902970701,16.1628509260938,27.1308016435527,30.1689448386133,2.9244411871289,0,-6829,31.4327761731521,10.151428974251,0.591544272277346,6.66668521356678,22.8465338103292,39.9743347076879,52.8113707997689,92.8339365413365,2.65542996154229,8.47476369056258,52.31,2.01908463594474,60.0256745357649,17.708157119935,-0.0160602107297925,1.47424294440253,11605.3092531039,-0.0811183089754446,39.2190762339023,0.152698042862465,0.411688753289234,1.4,-0.0025222704819186,0.486781630925027,230.159972033406,55023.4012836533,22.392617502157,24.4033961865884,16.7750045014,2.86106440251541,0.000228828440135216
"4433","SVK",1982,13.0158549296997,16.5735045754343,16.7560627388013,18.1865924727217,62.2304405509354,-0.183862608441338,78.9171740918244,42.9178143882352,5.82772130102717,88.5519531669638,-0.172342216148943,24.133717189117,16.1181213903535,27.1124993386743,29.8041873134334,2.92416943027916,0,-7022,31.6023864575144,10.3443446608153,0.581428581233983,6.71330928195426,22.7770345393332,40.3578122209613,52.6806326600006,92.4390553724104,2.64747807453106,8.46690488917765,52.777,1.66316024713379,59.6421969903696,17.6725233872427,-0.0286835859375139,1.49137466565802,11326.677699228,-0.0917619133258678,39.2952898906672,0.153191857193809,0.413656187600956,1.3,-0.00931729759572201,0.487530996186444,230.716282492519,54057.0112093319,22.3674011905754,24.4504567607184,16.8412494835919,2.85243370702854,0.000235268502323026
"4434","SVK",1983,12.6871287322137,16.6858407569172,16.8731140909828,18.1649798835042,63.2262515838783,-0.160041626743603,79.6700272216105,43.3589240785991,5.97957296750608,87.8367491911306,-0.147012739963504,24.2027084876591,16.2049582617142,27.1476719601384,30.5074767067482,2.92457602759844,0,-7322,31.2769975074562,9.973735120415,0.600934507306634,6.62346143930037,22.9104676538158,39.6199727812585,52.9325194193984,93.1960720960055,2.66279676544503,8.48190432238327,53.244,1.60770163663675,60.380036490091,17.7407976740369,-0.00438541761861896,1.45838838588715,11863.0635610711,-0.0712598051857495,39.1486959313178,0.152248374918837,0.40986423599101,1.4,0.00378916081541462,0.486065943982536,229.629140551597,55921.9568548495,22.4168832965757,24.3611015070543,16.7119895916938,2.86911383008557,0.000235888795389667
"4435","SVK",1984,13.0029397673447,16.5780139001734,16.7606939852434,18.1857491294716,62.2695461091351,-0.18292112411623,78.9467094066645,42.9349466013519,5.83372103241596,87.1613491018084,-0.17134264806666,24.1364143225683,16.1216235179923,27.1138708790942,29.8319174775387,2.92417000109721,0,-7276,31.5897722234814,10.3299098179852,0.582197928806329,6.70977298265941,22.7822208210841,40.3289231491693,52.6905393892328,92.4683304398459,2.64808032017805,8.46747613495152,53.711,1.56073158379725,59.6710860642758,17.6751585985665,-0.0277309250249625,1.4900800234025,11347.7158189944,-0.090956143831331,39.2895563893159,0.153155794695417,0.413506866245721,1.3,-0.00879986673830524,0.487470569515427,230.671504849704,54130.7616498781,22.3694658421456,24.447115627439,16.8359509546444,2.85309656413816,0.000224701543006058
"4436","SVK",1985,12.534684845703,16.7380319701582,16.9274282674882,18.1549630479855,63.6880317355729,-0.148989233529921,80.0191128630604,43.5632854745171,6.05002672287451,84.8953915420411,-0.135261984502036,24.2346890954728,16.245318999087,27.1639725618006,30.8337204656962,2.92474910060168,0,-6829,31.1262719254982,9.80199470183842,0.609983213346496,6.58178894760614,22.9722896938345,39.2779062739219,53.0493402191556,93.5466625610038,2.66990107294791,8.48884202538087,54.176,1.53595990291226,60.7221030250156,17.7724118487235,0.00688065643226873,1.44309263479466,12111.7719281829,-0.0617518590074902,39.0807403605637,0.151811853981993,0.408105408759473,1.5,0.00986967624880745,0.485383657207783,229.122911957143,56787.290985529,22.4399513814786,24.3198341654632,16.6518252208989,2.87685664920697,0.000221966074262853
"4437","SVK",1986,12.3832598919225,16.7899005324059,16.9813882875648,18.1450147460662,64.1467203319055,-0.138009185006718,80.3658534197672,43.7662266952813,6.12001878207951,82.4873875066806,-0.123588564956076,24.2664522728747,16.2854346927099,27.1801613834958,31.1578106767108,2.92491680513284,0,-6853,30.9766002208446,9.63143660424269,0.618972255157076,6.54039326858086,23.0336831757844,38.9381533501087,53.165383054113,93.894782001095,2.67695800393955,8.49572841907241,54.641,1.4740423972104,61.0618559761656,17.8038018139193,0.0180708874144719,1.42789948652642,12358.8081763009,-0.0523073893735348,39.013246100894,0.151378525669262,0.406358244206157,1.6,0.0159102325022036,0.484705146954496,228.619502256691,57646.9723403599,22.4628982464311,24.2788889987447,16.592002808711,2.88454977151468,0.000224567328428871
"4438","SVK",1987,12.2879812724393,16.8224678195847,17.0153172331786,18.1387509687272,64.435346625752,-0.131104425645893,80.5840583825093,43.8940631135072,6.16403441347328,82.5039743831372,-0.116246674010168,24.2864477811247,16.3106107885065,27.1903550666895,31.3616612044436,2.92503343901073,0,-7012,30.8823022703097,9.52402836522173,0.624626125222718,6.51435110299304,23.072353255013,38.7243044306176,53.2383912124911,94.1141603159872,2.68139803345609,8.5000744584644,55.105,1.40243456260037,61.2757049130334,17.8235868397855,0.0251133582123737,1.41833878680451,12514.2724490044,-0.0463649983083874,38.9707590794218,0.151105144306966,0.405259150901911,1.6,0.019709230078592,0.484280287321698,228.304240067729,58187.5495181355,22.4772497439758,24.2530034742401,16.5545205169046,2.88938496293459,0.000219708364481404
"4439","SVK",1988,12.2293246955275,16.8425032186065,17.036200212723,18.1348939370677,64.6130369361362,-0.126854455501005,80.718398700969,43.9727924406064,6.19112689961562,82.3891219081197,-0.111727417945739,24.2987596303525,16.3260967209912,27.1966321436337,31.4871435998298,2.92510750457175,0,-7201,30.8242244881574,9.45788592387611,0.628106390244968,6.49831963663885,23.0961680362932,38.5926375533467,53.2833358405328,94.2492852257392,2.68413139985124,8.5027526718368,55.568,1.36672488210097,61.4073718010377,17.835774065656,0.0294492197718975,1.41245271642209,12609.9864858927,-0.0427067115734534,38.9445988933452,0.150936694307055,0.404582563887666,1.6,0.0220476481756111,0.484019151096225,228.110457849559,58520.2757690503,22.4860672807414,24.2370426235427,16.531477535881,2.89236055771742,0.000218263374450917
"4440","SVK",1989,12.2288898545788,16.8427318214333,17.036382166787,18.1348701772274,64.614338857789,-0.126818273970059,80.7193585352473,43.9732103219688,6.19135591694998,81.6322037914307,-0.111690228656797,24.2988396757585,16.3262871111193,27.1966700358911,31.4881565649583,2.92509517899709,0,-7923,30.8239358693971,9.45750077751331,0.628134688699696,6.49819551478925,23.0962976889182,38.5917446591388,53.2836777843661,94.2498966358222,2.68415199512722,8.50275743192664,56.03,1.309537436264,61.4082646951213,17.8358249770686,0.0294797098182304,1.41241020058021,12610.6662234558,-0.0426793639358374,38.94442665407,0.150936285949834,0.404577262918276,1.6,0.0220670712108706,0.484014818975162,228.107294946354,58523.1431567353,22.4862334246234,24.2370659715127,16.5311227482027,2.89238890204533,0.00021946719729056
"4441","SVK",1990,10.6706154375193,17.3962302604275,17.5983590852491,18.0336859764284,69.330798384969,-0.0126733933531418,100,23.8134842229012,6.91856818938212,81.6237966108879,0.00934634112590502,29.3522096026061,16.7577343810572,27.3611353266206,34.8436690797691,2.9236482607818,0,-10132,29.3186800738347,7.72825431152976,0.721254162180163,0.183389027050841,23.7165256236642,35.1159388787116,54.4800014190619,57.167531703951,2.75685481132387,8.56990375951643,56.491,1.25904359678042,64.8840707066296,26.2589223311096,0.144228047172147,1.25633740309683,15145.5020653489,0.0545672616042608,38.255207293419,0.146684124104008,0.386527368669029,1.7,0.0847432883481609,0.476441941068203,222.501415414819,67468.6620387389,22.7472081124014,23.850622277123,15.8701718749252,2.9731056855935,0.000229051413634858
"4442","SVK",1991,6.07048659215313,18.9513469112949,19.2306262082668,17.7302239420303,83.2692191804971,0.319686354679363,100,41.5805873890754,9.03760664395195,80.7167149576298,0.363024218402797,27.6144707428047,17.9569651954946,27.8551571778383,44.6679084087947,2.93205431938846,0.002253691,-526,24.7353081606803,2.51982599450433,0.993689171492448,0.110997318441033,25.593655510422,5.541127,58.0030075885613,87.8426049374332,2.97115149218368,11.576,56.78,0.587734052793531,94.45887,24.6758189672496,0.48460054133294,0.794497780708069,22657.8706770409,0.341421671683312,36.1992235831526,0.133303914632143,0.333523724369368,1.5,0.267712033426516,0.456445835187862,207.652378867769,93481.7861089988,23.4183896035153,22.5703137439085,14.1001460038064,3.20519797778179,0.000276431322919978
"4443","SVK",1992,4.76775727544116,19.3255687298683,19.6704431285169,17.6402904606156,87.2291891584801,0.409944892163781,100,63.239216387649,9.61442298267587,80.8338536725447,0.4601369247835,25.5266508540111,18.2341097430686,28.0022034095532,47.3817082629211,2.94507530239955,0.028989651,-983,23.3200230801697,0.957894228563463,1.06877658402658,0.0565910675447282,26.1640041257003,6.267214,58.9934671108701,133.060724087364,3.03156473392422,11.87,56.719,-0.0750145961482457,93.73279,30.3238772183787,0.582358294669307,0.2395972,24809.9765818583,0.422469103547737,35.5990510057946,0.128820141755128,0.318749114757375,1.5,0.317802411717115,0.452763454981841,204.873969904151,100517.322133943,23.5251760442355,22.0906517968544,13.7509234125238,3.26573061557785,0.000278532920864336
"4444","SVK",1993,5.01418337767625,19.2883351485764,19.598620348684,17.6593279303196,86.4736806039404,0.394830542041125,100,52.4540965083188,1.20354790686839,78.566605609603,0.443311780538502,23.4560366226895,18.2133595950519,27.9707665948034,46.9030265573225,1.99636032146556,0.058720083,-602,23.6472165072992,1.29743105284734,1.05561975972246,0.830401181586743,26.036465174928,6.408017,58.8097788240997,112.195702426185,3.02027596719589,12.2,56.659,0.275894654077814,93.59198,28.1136297607277,0.563173549240413,0.242852,282,0.407233402493606,35.7216717416242,0.130020474875871,0.321424387121657,1.5,1.370613,0.45245588273099,204.676121670846,99354.4148165542,23.5472064069577,22.2407523803518,13.7398937407358,3.25691399762014,0.000290872509551182
"4445","SVK",1994,5.45731059394218,19.1625851223884,19.4495382112938,17.6900121895557,85.1263893024311,0.364218900302421,100,55.324327452368,1.33848444626211,76.2231249975261,0.410349628539471,19.95333544097,18.1205442659319,27.9205818999702,45.9815131858542,1.93951901446386,0.111373113,-699,24.1313642224576,1.83075323976942,1.03012668082959,0.536439465100375,25.8415559874004,6.302707,58.4730397488741,108.372095431577,2.99973261927747,13.65,56.598,0.286306364461002,93.6973,24.0266345966974,0.529889113133328,0.2354864,296,0.379669263022033,35.9262401689567,0.194725429991208,0.326444519671734,1.6,1.46072,0.453662291563822,205.58794771893,96968.9774981747,23.5128241553024,22.4066401154293,13.8551387798894,3.23644472837898,0.000294421465480088
"4446","SVK",1995,2.25484365616011,19.366781733975,19.6735555582216,17.6466817100427,87.0814244178282,0.409977964898293,100,53.9263117552502,0.913822141452238,78.582783825001,0.459263165281148,23.6331498556839,18.2756542011401,27.7400136141198,47.3435536650384,3.15455810787471,0.230187088,-591,23.4651800656855,1.08327128106524,1.06786252970815,0.498550713214508,23.8474000932752,6.52598,56.5977640710265,108.551829367,3.02969363986321,13.11,56.537,0.184797926408236,93.47402,23.786455407687,1.32116,0.2163886,307,0.419811561162529,35.6345544014731,0.191401302012618,0.319068617900784,1.7,1.251435,0.451269401198475,203.80195314182,100544.509107792,23.5896782969534,22.2031758745396,13.6385301939823,3.26788466104164,0.000289588568036381
