"","Country.Code","Year","lifesatisfaction","lifeexpectancy","nutrition","sanitation","incomepoverty","energyaccess","education","socialsupport"
"1","ABW",1973,0.756197784950256,0.9222788426404,1.11924253866816,0.75556566258484,0.620700424183354,0.824703810424058,0.807141711818177,0.826084156688709
"2","ABW",1974,0.818638101942055,0.970345170167286,1.21128218668178,0.832261073193246,0.711020783769723,0.901935822492054,0.893433307230298,0.86200281426372
"3","ABW",1975,0.691808059932319,0.872717622505688,1.02434246966288,0.676501521163409,0.527583714062904,0.745083485542585,0.718174539162571,0.789063989394569
"4","ABW",1976,0.700481962142277,0.879394724011446,1.03712808217194,0.687155507021219,0.540130425226727,0.755812031470288,0.730161626095741,0.794053506202311
"5","ABW",1977,0.708870276422742,0.88585218788395,1.04949319668518,0.697459630368987,0.552264875745746,0.766188158870573,0.741754699044424,0.798879454080965
"6","ABW",1978,0.708754416854968,0.885765800200519,1.04932878452294,0.697329840321271,0.552108712092841,0.766055996289174,0.741603574528553,0.798822482654616
"7","ABW",1979,0.708959087544435,0.885926059590309,1.04963662919243,0.697593328498735,0.552415806206152,0.766319913685418,0.741895110043631,0.798949564056526
"8","ABW",1980,0.70924046333365,0.886145343832296,1.0500574893312,0.697950933135367,0.552833763167167,0.76667861776995,0.74229257878481,0.799120692322662
"9","ABW",1981,0.705759646713692,0.883469733330317,1.04493551112684,0.693692924986359,0.547814689946063,0.762388774095073,0.737494693330942,0.797131867743204
"10","ABW",1982,0.69974678835667,0.878845730444974,1.03608293496274,0.686328227086411,0.539136118358797,0.754970105087822,0.729200016802342,0.793689131655374
"11","ABW",1983,0.697180589337102,0.876873847199221,1.03230836358128,0.683192114238711,0.535438650293424,0.751810184932734,0.725665021234066,0.792225257115738
"12","ABW",1984,0.700267177340822,0.879251663866511,1.03686215529238,0.686991292911278,0.539910654545785,0.755635017792778,0.729936331169043,0.794006934571101
"13","ABW",1985,0.861169131601532,1.0031006713958,1.27400944040203,0.88457018250919,0.772604530050191,0.954602928916927,0.952259589053866,0.886521458707877
"14","ABW",1986,0.740245168044528,0.910004892181598,1.09574207621843,0.735999305640246,0.597650622711333,0.804997254429732,0.785115708323764,0.816929269993971
"15","ABW",1987,0.746734145612205,0.915001011715413,1.10530921296082,0.743973863827819,0.607040762799347,0.813027121381615,0.794086360031727,0.820665247944328
"16","ABW",1988,0.748007067497448,0.915982293255157,1.10718871680286,0.74554361139433,0.608887729105132,0.814607124397382,0.795849985052405,0.821402299429222
"17","ABW",1989,0.733387809191668,0.904736331272186,1.08565726060904,0.727622054401009,0.587773062715251,0.796556053230574,0.775671716690837,0.81301986251841
"18","ABW",1990,0.788798134724493,0.947352638804953,1.16724716340477,0.795511046820469,0.66776796580754,0.864940090692184,0.852124812903218,0.844761997803562
"19","ABW",1991,0.763713189329744,0.928047659717899,1.13028300110189,0.764723004505495,0.631504124137658,0.833933857106628,0.817474869941891,0.830350318960753
"20","ABW",1992,0.762223927495535,0.926920247599306,1.1281310173924,0.762978757995796,0.629427493516423,0.832167463181727,0.815477786343047,0.829559328702268
"21","ABW",1993,0.812605414234125,0.965721939611694,1.20243685579457,0.824943712832753,0.702378968747686,0.894556436378547,0.885162715604908,0.858604081758631
"22","ABW",1994,0.809929077691928,0.963668232904645,1.19850666935652,0.821685550987063,0.698534264504915,0.891272065493805,0.881485015120329,0.857087078186684
"23","ABW",1995,0.97532267210449,1.09177635003314,1.44409767780038,1.02836450324016,0.940995758896502,1.09898461624025,1.11258886188916,0.95495460354836
"24","ABW",1996,0.930799281186276,1.057447106412,1.37834255509456,0.97342922102596,0.876366702313317,1.04369389489233,1.05088064415194,0.929151546713896
"25","ABW",1997,0.933258073550947,1.05935312405797,1.3819970503525,0.976508581742551,0.879977423543931,1.04678787278415,1.05432119440121,0.930611736933657
"26","ABW",1998,0.932873051559379,1.05901937043806,1.38134452797322,0.975868616416499,0.879268015135477,1.0461629684921,1.05366913360992,0.930261150655292
"27","ABW",1999,0.886884126813042,1.0238043132487,1.31398034950545,0.920216656050869,0.813507978683632,0.99002382811866,0.990713666529072,0.90445240851217
"28","ABW",2000,0.816369104377627,0.968460015726189,1.20762260867612,0.828854943507276,0.707173549324096,0.898578278649804,0.889852948908902,0.860219075661215
"29","ABW",2001,0.853950710963993,0.997605318566967,1.26350874580131,0.875978117998212,0.762413422090593,0.945918663565618,0.942480846696105,0.882581091092828
"30","ABW",2002,0.852706207166482,0.996541226830521,1.26143303107066,0.873975269572888,0.760180381499801,0.943957270976788,0.940420384339923,0.881498676737245
"31","ABW",2003,0.851723304033085,0.995688715167109,1.25976612765678,0.872339348600378,0.758367373484611,0.942360038941967,0.938754201513785,0.880601993351586
"32","ABW",2004,0.929211999353053,1.05526611204828,1.3738214179343,0.967191799839031,0.870156957780569,1.03791436154443,1.04560767995305,0.924924564816081
"33","ABW",2005,0.987053398667326,1.09983124671086,1.45917085497113,1.03841288006856,0.95398424471567,1.10961332904563,1.12566897349186,0.958332585316719
"34","ABW",2006,1.01941642265827,1.1250134574889,1.50748775044001,1.07936816971336,1.0018963796359,1.15071435784689,1.17125873564998,0.977879733324818
"35","ABW",2007,0.944696863495903,1.06730312317485,1.3969124535428,0.986734099122069,0.89303261425681,1.05753230306998,1.06738259897713,0.934235831655684
"36","ABW",2008,0.98658714090708,1.09968343734,1.45896373298415,1.03878397482075,0.954171268297722,1.10987662656426,1.12570242483657,0.958793809282433
"37","ABW",2009,0.983951464249744,1.0976072417465,1.45497114297164,1.03533528968517,0.95016588955979,1.10642852602332,1.12190821921122,0.957114345430884
