isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
DNK,103.296,30.06489,13.12547,47.37004,103.81,69.22346,7.5,87.28261,100,99.6,2.5,0,NaN,3.6461,NaN,25.1,44336.82,1.965262,1.692594,0.1421928,85.75943,NaN,NaN,69.8,NaN,0.8473313,0.4837638,87.142,64.95116,2.139176,100,100,0.001367057,4.07,33.33044,NaN,0.3918543,2.746726,54.63049,48.61048,8519,366,4.3,7.5,5591572,2.474065e+11,5.77587e+08
DOM,23.06363,9.148564,2.934111,7.151427,56.08,64.62801,14.7,59.01706,85.4,82.9,13.6,3.1,41,1.4943,NaN,45.3,11754.27,-0.5501992,0.08700065,1.416659,63.36142,NaN,35.54824,10.3,NaN,5.637254,0.1411524,76.039,62.93089,0.9948967,98,90.54108,NaN,2.61,13.07312,0.004795017,7.033736,1.58006,24.58318,33.8055,1,21353,19.9,24.55,1.015504e+07,1.192207e+11,2.34212e+08
DZA,34.09932,13.56217,1.419894,9.175755,90.18,65.73222,11,64.25889,84.9,87,4.9,0.8,5.5,1.207,0.003035703,28.5,13229.01,-0.5471287,-0.897813,1.198161,73.58242,NaN,NaN,NaN,NaN,0.7177331,0.1210756,68.87,66.73442,30.17796,100,99.99,2.77782e-05,2.02,37.18585,0.000873764,0.1027716,NaN,36.8898,28.51406,4743,4777,15.4,22.5,3.743943e+07,5.036559e+11,1.276659e+09
ECU,29.68249,15.11509,2.277183,5.77386,60.86,66.09826,4.1,59.38375,85.9,82.8,8.3,4.1,27.3,1.6654,NaN,43,10285.87,-0.5100547,-0.3278479,5.057728,45.64174,10.34829,73.97964,NaN,NaN,0.6449113,0.1266579,63.088,63.65444,18.44981,97.2,96.17735,NaN,2.62,NaN,0.001970196,2.816308,NaN,30.16481,31.5863,10,5779,15.6,21.85,1.541949e+07,1.620964e+11,4.57689e+08
EGY,27.307,8.299399,3.935786,7.24418,103.78,59.99593,12.7,57.34444,98.8,94.7,4.4,3,26.3,1.812,0.001604349,47.3,9981.552,-0.8003782,-0.7654077,-0.1735151,36.06677,NaN,NaN,43.2,21.41533,1.012363,0.05449997,43.002,62.70658,11.43976,100,99.99,0.0004767286,3.07,12.52022,0.0081559,6.960799,NaN,16.39697,24.3148,1948,7789,14.8,22.1,8.56609e+07,8.782403e+11,2.339142e+09
ERI,NaN,NaN,NaN,NaN,NaN,51.73645,7.1,22.75137,57.5,15.3,NaN,NaN,NaN,NaN,NaN,NaN,2102.954,-1.511464,-2.1544,6.412911,46.49814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.0768,36.13269,NaN,1.83,NaN,NaN,NaN,NaN,NaN,NaN,13,15348,18.9,25.5,NaN,NaN,2.1994e+07
ESH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN
ESP,75.78224,26.4501,11.95517,22.87171,104.68,71.5136,25.2,79.4397,100,99.9,2.5,0.8,NaN,3.8165,0.01460617,34.1,30904.79,1.107991,1.040571,-2.01962,71.72993,9.22981,NaN,17,74.26328,1.859401,0.5875391,78.902,67.43711,0.1483231,100,100,0.0004786303,3.74,13.44777,NaN,0.1555416,75.11407,31.45527,29.3901,7216,2604,7.9,13.3,4.677306e+07,1.507757e+12,3.544567e+09
EST,92.65395,23.97754,12.22806,44.16132,97.75,65.71936,10.1,85.85333,99.5,97.2,3,0.6,21.8,3.278,0.04416132,33.4,25643.35,0.9607759,1.090193,6.72853,80.38232,12.05791,NaN,6,NaN,7.728637,0.5250556,67.835,66.51725,3.015616,100,88.33655,0.0001791795,2.79,1.025485,NaN,1.991948,34.18829,85.56757,83.9242,16781,470,1.5,5.1,1322696,3.428564e+10,1.22553e+08
ETH,16.80468,0.5082806,0.1184603,15.78375,61.94,56.62041,5.6,31.6522,51.6,24.3,28.9,28,29.6,0.022,0.001197663,28.6,1226.823,-0.4356956,-1.280015,7.110775,57.38248,30.53954,13.24795,9.6,NaN,0.6431729,0.001540277,18.16,53.31366,15.50162,26.56256,2.191234,NaN,2.22,9.209358,0.08969834,1.441585,NaN,13.7673,31.63061,149,5309,15.5,22.2,9.219121e+07,1.158551e+11,1.549244e+09
FIN,194.4183,32.61396,26.74359,65.06278,116.36,68.99416,7.6,81.50889,100,97.6,2.5,0,NaN,3.0693,0.08385712,25.5,40153.57,2.21447,1.617882,0.08128881,75.72231,12.81075,NaN,67.3,NaN,1.921589,0.4907496,83.819,65.33988,1.522931,100,100,0.000745294,4.12,20.26097,NaN,0.335959,32.77745,38.80828,40.36222,19340,274,-2.4,1.7,5413971,2.18928e+11,1.052575e+09
FJI,NaN,NaN,NaN,NaN,78.11,58.52018,8.5,76.65174,95.6,91.1,4.4,2.9,34,0.8025,0.003935216,40.8,7612.228,-0.8991214,-0.8749733,-1.545191,66.3375,NaN,NaN,NaN,11.37507,6.716181,NaN,52.596,65.85526,3.254726,59.32891,59.6845,NaN,2.22,NaN,0.03273555,4.791966,NaN,NaN,NaN,NaN,NaN,20.9,24.4,874158,6.721207e+09,NaN
FLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRA,98.73248,27.76495,16.32323,41.1528,111.25,70.99977,9.9,81.55494,100,98.7,2.5,0,NaN,3.1711,0.01566325,30,37376.54,1.329258,1.22141,0.6384134,77.15762,9.73667,NaN,8.1,67.4341,1.547564,0.5808426,78.82,63.78527,0.1271012,100,100,0.001304208,3.96,22.57374,NaN,0.8456146,42.08998,29.20303,30.49903,8378,1335,6.5,10.7,6.565979e+07,2.459768e+12,6.482754e+09
FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01983758,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.323,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,6.722316,NaN,52.34993,62.61855,NaN,NaN,NaN,NaN,48393,NaN,NaN
FSM,NaN,NaN,NaN,NaN,NaN,58.38223,NaN,61.10845,89,57,NaN,14.2,41.2,0.177,0.003748213,NaN,3324.467,-0.6319329,1.000645,1.355064,90.76369,NaN,NaN,NaN,NaN,0.3069037,NaN,22.317,60.33463,0.04994326,59.32891,58.30907,NaN,NaN,NaN,0.4745867,6.384609,NaN,29.88778,81.47113,NaN,NaN,NaN,25.85,103516,3.614104e+08,NaN
GAB,49.44254,4.526216,2.472902,30.16073,85.54,55.20591,20.3,58.93333,92.2,41.4,9.4,NaN,NaN,NaN,NaN,NaN,16225.39,-0.7755252,-0.8708385,3.786635,70.57821,NaN,NaN,NaN,NaN,4.848008,NaN,86.367,57.13122,48.08503,89.3,78.68134,7.313344e-05,2,NaN,0.00464524,NaN,NaN,60.95034,31.39247,1,18123,20.9,25.05,1613489,2.891221e+10,7.9775e+07
GBR,84.31524,25.86779,11.98603,37.78453,103.4,69.34563,8,86.02602,100,99.2,2.5,0.2,NaN,2.7279,0.006191933,33.1,37449.78,1.527082,1.324708,0.8276224,82.91119,NaN,NaN,26.1,NaN,1.777277,0.5613945,81.834,65.46795,1.18216,100,100,0.001009791,3.95,25.47554,NaN,0.1879782,21.15829,29.9751,31.14731,7252,225,5.1,8.45,6.37003e+07,2.393177e+12,5.370906e+09
GEO,34.53725,9.414379,4.230327,13.6434,77.15,63.99732,15,77.03333,98.3,88.1,8.1,8.3,30,4.4392,0.004995817,40.9,8465.272,0.5654783,-0.00374218,8.185757,14.12169,6.70776,67.10555,NaN,5.953638,5.245677,0.2099346,53.162,68.67574,1.850942,100,53.83455,0.0001655222,2.85,24.11828,0.05077574,11.1704,NaN,36.51629,55.42599,14895,852,0.4,5.8,3825000,3.070139e+10,1.32105e+08
GHA,10.47268,3.712884,0.6020459,4.072921,66.62,54.75085,3.6,55.27444,85.4,14.4,5.9,11.1,24.2,0.1686,0.004287214,38.3,3595.641,-0.07241686,0.4013304,8.930027,65.56659,37.68692,64.95248,22.4,7.831186,7.855368,0.0301434,52.069,57.55349,20.41859,64.06256,16.78118,NaN,2.05,14.86579,0.04492437,5.139506,0.6069468,40.35922,52.80882,22,21277,22.1,27.2,2.554456e+07,9.51955e+10,2.6752e+08
GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3,NaN,31402,NaN,NaN
GIN,NaN,NaN,NaN,NaN,55.28,50.59933,1.7,29.44447,74.8,18.9,16.5,28.4,55.2,0.1,NaN,32.3,1783.645,-1.278466,-1.058565,1.134729,38.93179,9.46061,NaN,NaN,NaN,10.68247,NaN,35.748,53.82737,27.3804,26.2,2.21827,NaN,2.34,NaN,0.06687173,1.169884,NaN,33.13739,53.53693,99,16771,19.6,25.7,1.162877e+07,1.418183e+10,NaN
GLP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.3,NaN,NaN,NaN,NaN
GMB,NaN,NaN,NaN,NaN,62.08,55.24026,7,34.56111,90.1,58.7,9.4,20.8,48.1,0.038,0.002069605,40.2,2308.534,-0.5129521,-1.277616,-2.591228,59.96983,13.8003,NaN,NaN,NaN,3.673671,NaN,57.706,51.13895,6.266926,34.5268,5.01579,NaN,1.9,NaN,0.1440363,15.44989,NaN,19.84168,27.85899,11,17009,20.4,27.5,1807108,2.88989e+09,NaN
GNB,NaN,NaN,NaN,NaN,43.77,49.45285,6.9,32.53333,73.6,20.2,22.6,49.6,69.3,0.0626,NaN,41.6,1442.147,-1.243866,-1.394936,1.15937,26.69444,14.5398,NaN,NaN,NaN,0.6654311,NaN,46.924,55.58363,17.60874,60.60672,1.999998,NaN,2.68,NaN,0.0873797,4.583766,NaN,15.47521,25.69778,8,17746,20.9,26.75,1714620,2.37047e+09,NaN
GNQ,NaN,NaN,NaN,NaN,NaN,53.84619,6.9,41.49111,47.7,74.9,NaN,NaN,NaN,NaN,NaN,NaN,35887.82,-1.649574,-1.882653,0.7780194,83.12955,NaN,NaN,NaN,NaN,5.470291,NaN,39.463,57.33196,56.74783,66,55.06391,NaN,2.111111,18.76822,0.001076942,NaN,NaN,71.90499,44.77043,1,15662,20.6,24.55,773729,2.97237e+10,NaN
GRC,64.79115,21.29695,12.23403,26.48499,108.23,69.48995,24.2,79.69885,100,99,2.5,1.3,NaN,6.0831,0.0105894,33.4,24364.27,0.3074923,0.6681736,-7.904494,67.88639,NaN,NaN,23,18.26695,0.6770557,0.5897176,77,65.5926,0.2023326,100,100,0.0001279311,2.88,23.56228,NaN,0.2772927,30.73504,28.68399,33.13377,6191,4407,10.5,15.4,1.104501e+07,2.869503e+11,7.15619e+08
GRD,NaN,NaN,NaN,NaN,68.96,65.28346,NaN,72.39757,96.6,98,NaN,NaN,NaN,NaN,NaN,NaN,10846.56,0.3058267,0.7992005,-0.5785823,47.91797,NaN,NaN,NaN,NaN,3.936813,NaN,35.601,65.8036,NaN,90.87544,99.97887,NaN,NaN,18.66942,0.009987797,3.662334,NaN,25.81517,49.46782,NaN,NaN,22.8,26.65,105476,1.186875e+09,NaN
GRL,NaN,NaN,NaN,NaN,NaN,62.49716,NaN,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9667467,1.248198,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.2,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.51199,63.46641,NaN,NaN,-22.6,NaN,56810,NaN,NaN
GTM,23.31958,5.04543,1.081219,16.02049,64.57,63.39525,2.9,48.38799,92,62.9,16.3,8.2,59.3,0.9039,0.001127742,44.9,6899.215,-0.7632619,-0.3875638,1.397026,33.93319,21.10514,64.31808,2.7,NaN,2.507793,0.1052203,50.212,57.30776,3.711762,78.5,36.65956,NaN,2.59,10.83596,0.006930959,9.983733,2.787881,24.86869,36.11378,1,14481,18.2,23.45,1.536876e+07,1.072971e+11,3.58393e+08
GUF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.112248,1.114781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.6,NaN,NaN,NaN,NaN
GUM,NaN,NaN,NaN,NaN,NaN,64.02962,NaN,NaN,99.5,89.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.04222662,0.8380574,0,NaN,NaN,NaN,NaN,NaN,NaN,0.6756466,94.273,65.59669,NaN,59.32891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.31141,58.41508,NaN,NaN,NaN,NaN,162807,NaN,NaN
GUY,NaN,NaN,NaN,NaN,78.23,58.77621,11.2,58.16555,95.9,83.6,9.6,NaN,NaN,0.6898,NaN,NaN,6400.506,-0.1397996,-0.02140209,4.775918,66.0985,10.26061,NaN,NaN,21.42786,9.747281,NaN,28.319,63.73373,24.40339,79.46677,93.38245,NaN,2.15,NaN,0.04584152,16.45854,NaN,49.46664,69.78038,NaN,NaN,21.6,26,758410,4.903585e+09,NaN
HKG,50.34496,12.4081,20.08023,24.37676,129.29,NaN,3.3,76.73666,NaN,NaN,2.5,NaN,NaN,NaN,0.0002935175,41.3,50378.33,1.824478,0.6209081,2.300525,NaN,18.64948,NaN,24.8,1078.305,28.51437,0.08484052,100,74.62909,0.001660749,100,NaN,NaN,4.12,12.49966,NaN,0.1396703,NaN,215.8496,214.719,NaN,NaN,19.3,NaN,7154600,3.668454e+11,3.60198e+08
HND,24.3857,5.953751,1.667242,11.82826,64.28,62.97951,4,50.49632,89.3,80,15.1,16.2,66.5,0.9999,0.001905604,50.6,4072.168,-0.7174601,-0.4939959,2.409315,45.53901,NaN,50.90285,NaN,NaN,5.761634,0.01799349,52.93,61.25013,3.742427,82.2,49.18562,NaN,2.35,14.74747,0.03335876,15.76141,13.66272,50.9028,70.28542,1,14117,18.9,23.5,7736131,3.583449e+10,1.88651e+08
HRV,62.60395,18.87051,10.12406,24.84958,83.53,66.51561,15.8,77.03345,99.4,97.1,2.5,0.8,19.5,2.9727,0.006316962,28.8,20341.41,0.6953918,0.5009897,0.484252,81.6086,NaN,70.71854,29.4,36.23861,2.593772,0.3745767,58.074,66.66805,1.753631,100,91.65245,0.0002586959,3.35,19.57716,NaN,3.690695,33.52649,39.52517,41.22797,8911,2929,6.2,10.9,4267558,8.968708e+10,2.67166e+08
HTI,12.00516,1.306077,0.1046766,9.827066,47.21,53.97196,7,37.42778,58.5,26.7,49.6,20.3,58.5,0.1372,0.0004146245,52.8,1590.861,-1.626324,-0.7928326,2.721202,9.918557,NaN,NaN,NaN,NaN,1.977132,0.007481999,54.841,60.42941,1.996375,37.9,8.401752,NaN,1.78,NaN,0.1790674,20.4345,NaN,16.9063,53.15794,1,22492,20.1,24.9,1.028883e+07,1.660705e+10,1.23519e+08
HUN,68.96724,16.02421,8.034787,33.32398,80.67,64.60503,10.9,80.48938,100,98,2.5,0.3,15,3.1046,0.02052355,28.6,22674.19,0.6189724,0.7394423,0.4202604,63.43267,NaN,NaN,11.8,16.32395,8.349747,0.3485405,69.832,68.32444,0.6828929,100,88.50191,0.0005934259,3.14,23.01452,NaN,2.775577,31.03234,86.32208,79.54806,11054,2816,4.8,9.75,9920362,2.252066e+11,6.8418e+08
IDN,26.95503,7.444489,1.640588,10.78697,61.94,61.59314,6.1,60.3136,85.7,58.8,9.6,12.6,11.2,0.3075,0.002002142,42.3,9267.217,-0.2908397,0.0384284,4.716778,39.6062,18.09042,57.23614,7,46.65395,2.30978,0.07253788,51.488,66.58488,8.350654,96,59.2501,8.177381e-05,2.54,11.38059,0.0002394522,0.7857537,NaN,24.59438,24.98852,1,22485,21.1,25.85,2.480379e+08,2.344875e+12,6.685868e+09
IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.449,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.042,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85779,NaN,NaN
IND,16.83401,2.432483,0.7569997,6.563499,59.18,57.89083,3.6,47.26667,92.2,37.5,17.3,19.7,21.9,0.6997,0.00371879,47.9,4817.197,-0.1812571,0.3788824,4.749036,26.97338,14.06268,29.70666,12.8,69.22537,1.314861,0.01790296,31.631,64.62701,6.13624,78.7,36.00028,0.0007743875,2.87,10.82881,0.000806554,3.771069,0.2404813,24.53443,31.25929,1075,15333,17.7,23.65,1.26359e+09,6.219189e+12,2.127129e+10
IRL,93.59399,31.72471,11.30285,36.87286,105.87,69.62871,14.7,88.70667,97.7,90.3,2.5,0.2,NaN,2.6613,0.02093703,30.2,44766.47,1.529896,1.318145,1.066375,67.57265,13.83413,NaN,31.1,48.51463,18.23336,0.4778326,62.386,66.8686,0.1246976,100,100,0.0003440234,3.35,22.55765,NaN,0.3117647,16.67222,104.5096,87.02738,5747,34,5.9,9.3,4586897,2.112878e+11,4.29306e+08
IRN,89.68559,23.2305,4.338342,30.16108,86.78,64.42111,13.1,68.34556,96,89.6,5.6,0.2,NaN,1.1881,0.002611264,37,16827.02,-0.5414761,-1.582342,-2.803659,38.48316,17.03431,NaN,NaN,15.4963,0.7938794,0.1511711,71.769,71.71013,26.12222,100,99.98695,0.0002254816,2.42,7.679742,0.0003312911,0.226495,NaN,24.12886,23.24419,9452,3353,10.1,17.25,7.615698e+07,1.283533e+12,6.830183e+09
IRQ,30.84755,15.12145,1.826345,7.099966,62.39,63.28859,15.2,46.65556,86.1,84.8,26.4,3.9,18.9,0.75115,0.001809081,33.2,15032.58,-1.112922,-1.122541,7.12893,62.30939,NaN,83.55954,NaN,NaN,1.559626,0.1013593,69.175,55.2858,45.2271,100,98.89752,3.034199e-06,1.92,NaN,0.007362358,0.1243114,NaN,44.44873,29.10025,4705,7918,14.1,21.4,3.295762e+07,4.882199e+11,1.016662e+09
ISL,340.7625,35.30538,21.2088,94.67878,134.11,71.19756,6,84.68667,100,98.8,2.5,0,NaN,3.5084,0.04019132,24.5,41076.61,1.485535,1.456888,1.160192,80.54619,NaN,NaN,85.1,NaN,1.681946,0.7560957,93.84,66.65409,0.001179845,100,100,NaN,3.39,22.23918,NaN,1.106712,12.01455,55.01726,49.25024,NaN,NaN,-1.1,1.75,320716,1.291792e+10,1.09288e+08
ISR,77.97054,23.18652,16.11137,25.40143,127.87,70.69656,6.9,85.42678,100,100,2.5,0.5,NaN,3.3423,0.002347007,37.1,30658.07,1.251757,0.6240512,2.036035,62.90646,NaN,NaN,25,62.34476,3.261617,0.3333861,91.949,61.80933,0.3051367,100,100,0.0002436003,3.356151,21.9206,NaN,0.2638152,17.47208,35.9519,36.01303,NaN,NaN,13.4,19.2,7910500,2.530856e+11,6.16786e+08
ITA,88.39337,25.56017,9.659989,35.35143,109.1,71.1039,10.7,78.95058,100,99.5,2.5,1.1,NaN,3.8608,NaN,33.1,35411.48,0.4101397,0.8912679,-1.353794,75.34012,NaN,NaN,36.3,23.24498,0.001679455,0.7054115,68.56,64.89584,0.2190636,100,100,0.0006495832,3.74,23.59234,NaN,0.4423665,34.02076,28.37924,27.27548,8003,3232,9.5,13.45,5.953972e+07,2.137463e+12,5.262916e+09
JAM,28.35175,8.900936,2.757953,5.586443,76.29,66.1977,13.7,66.83556,93.8,81.7,9.2,NaN,19.9,0.3541,0.008169347,NaN,8016.387,-0.02194768,0.4370274,0.2373219,57.86974,18.80926,68.80756,NaN,34.79144,2.802941,0.06569897,54.127,65.67274,1.344048,92.63344,87.62722,NaN,2.27,26.95019,0.001899251,14.6943,2.85218,30.18371,51.85637,NaN,NaN,20.6,24.95,2707805,2.317905e+10,7.6771e+07
JEY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOR,31.36572,13.70544,4.560615,9.390873,80.08,66.88371,12.2,69.97251,96.9,98.6,9.5,0.4,14.4,2.2223,0.001029816,37.3,8979.519,-0.03648276,-0.7358284,-0.9509861,68.82613,NaN,73.19309,NaN,87.16824,4.891308,0.140683,82.97,59.93776,2.693605,99.5,99.99,7.205712e-05,2.48,15.25759,0.04239806,12.43907,0.4807788,45.60721,73.23787,3417,5765,11.2,18.3,6994451,7.296734e+10,2.19386e+08
JPN,101.8681,24.39386,18.24225,37.09414,88.57,72.53985,4.3,80.8,100,100,2.5,NaN,NaN,2.274,0.009554388,30.3,36367.6,1.396789,1.08682,0.8383393,82.69501,9.48014,NaN,17.9,58.3966,0.009181462,0.5967789,91.902,62.58213,0.0294544,100,100,0.001917436,4.11,10.08218,NaN,0.04263003,1.002593,14.54475,16.09137,6922,5526,7,11.15,1.275615e+08,4.558489e+12,1.299445e+10
KAZ,103.9396,13.06048,3.27703,24.35731,94.87,60.54359,5.3,76.22667,93.1,97.5,2.5,0.1,3.8,3.4684,0.005801652,28.6,21986.32,-0.4413371,-1.157042,4.399991,55.80632,NaN,48.3088,49.2,11.00325,6.321436,0.2482789,53.458,68.23293,36.05513,100,90.08195,0.001101634,2.6,NaN,0.0008056876,0.08250855,NaN,44.10966,29.61407,21162,2106,0.6,6.4,1.679142e+07,3.903837e+11,1.745294e+09
KEN,13.17757,1.570365,0.2601604,10.45564,62.58,55.15413,9.2,51.45555,61.6,29.6,22.4,28.4,36.1,0.1854,0.003781541,NaN,2561.61,-0.5388474,-0.3053363,2.552152,60.52122,NaN,NaN,NaN,24.31889,0.3241612,0.02558639,24.37,54.88588,3.367038,23,16.17237,NaN,2.16,15.87837,0.06029123,2.402336,0.08631954,22.22735,35.53772,12,6348,18.9,24.75,4.254298e+07,1.156738e+11,5.60613e+08
KGZ,26.37751,9.909402,4.714118,7.269582,85.48,61.67402,8.4,65.62889,87.6,93,7.3,4.7,38,1.9124,NaN,32.1,2866.626,-0.6586882,-0.6439648,1.417625,60.18789,18.19559,58.31822,NaN,2.497607,4.671091,0.1908023,35.403,65.33693,7.839483,100,73.17512,1.3554e-05,2.49,18.11669,0.09331202,30.75445,NaN,44.4042,95.27174,29500,134,-4.6,1.55,5607200,1.638818e+10,1.47904e+08
KHM,14.18726,3.238348,0.5763116,8.228621,64.78,59.27485,0.2,49.51778,68.8,37.2,18.6,NaN,17.7,0.1651,0.003014309,36,2806.326,-0.8311046,-0.9608796,5.458724,24.09505,7.53607,3.085971,9.6,NaN,10.26456,NaN,20.137,63.64877,4.026108,31.1,11.44022,NaN,2.2,11.09516,0.06037051,1.225968,NaN,57.88976,62.70767,1,22299,22.3,26.8,1.483226e+07,4.222235e+10,2.10429e+08
KIR,NaN,NaN,NaN,NaN,74.87,53.1362,NaN,60.20705,66.7,39.7,3.1,NaN,NaN,0.17305,0.006283999,NaN,1803.405,-0.8341485,0.7903357,0.842452,80.13277,NaN,NaN,NaN,NaN,-1.955233,NaN,43.948,60.57025,0.112577,59.32891,54.17229,NaN,NaN,NaN,0.379242,9.660899,NaN,13.10895,91.76268,NaN,NaN,25.3,28.2,106620,1.818339e+08,NaN
KNA,NaN,NaN,NaN,NaN,72.17,NaN,NaN,63.79126,98.3,NaN,NaN,NaN,NaN,2.523,NaN,41.9,24000.83,0.8375437,1.137516,-0.9957492,41.04172,NaN,NaN,NaN,82.19721,12.62696,NaN,31.844,NaN,NaN,90.87544,100,NaN,NaN,20.19043,0.03270727,6.974736,NaN,34.81713,43.96487,NaN,NaN,NaN,24.5,53650,1.096747e+09,NaN
KOR,139.3389,25.34843,15.58502,34.53987,95.61,70.44302,3.2,86.45097,97.6,100,2.5,0.2,NaN,2.0843,0.002099473,30.7,31776.9,1.198903,0.7032219,2.371085,54.92541,NaN,NaN,10.1,96.45179,0.7765656,0.3773665,82.141,72.91545,0.04723976,100,99.99,0.0004320216,3.74,14.43566,NaN,0.5373701,16.07315,56.34024,53.54596,8992,4888,6.5,11.5,5.000444e+07,1.611273e+12,6.967561e+09
KWT,198.6884,51.6458,41.83788,44.37532,99.79,70.0211,3.4,64.57875,99,100,2.5,NaN,NaN,2.4323,0.001932401,NaN,78700.46,-0.07675102,-0.6306335,2.265906,85.03918,NaN,NaN,NaN,NaN,1.650249,0.4695865,98.294,74.99401,59.18234,97.69783,100,NaN,2.82,NaN,NaN,0.001501619,NaN,74.73185,26.2796,1640,11962,18.5,25.35,3419581,2.684111e+11,6.79431e+08
LAO,NaN,NaN,NaN,NaN,66.08,57.25881,1.4,43.58667,71.5,64.6,18.7,20,23.4,0.1808,0.00611551,38.4,4772.267,-0.8781779,-1.580953,6.24336,37.39002,NaN,NaN,15.5,NaN,3.145306,NaN,35.368,60.27384,19.61166,70,2.390325,NaN,2.4,14.832,0.04720026,0.6252348,NaN,37.87673,60.3084,73,14790,18.2,22.8,6473050,2.96527e+10,NaN
LBN,37.26044,15.63282,5.527941,13.92596,79.46,65.94276,6.2,63.05761,99,80.7,7.6,0,27.4,2.74525,NaN,36.6,13354.76,-0.3415559,-0.4185219,-4.177541,46.2865,7.10915,NaN,NaN,22.5733,7.310704,0.1173781,87.426,68.05169,0.003238309,100,99.99,NaN,2.41,15.48355,0.01822391,15.44087,1.179029,34.47572,60.19141,1630,7888,10.7,16.4,4924257,7.495432e+10,1.8348e+08
LBR,NaN,NaN,NaN,NaN,38.07,52.33107,3.7,36.72445,72.9,16.1,37.6,30.7,54.1,0.0228,NaN,32.2,1211.055,-1.170607,-0.3520386,5.059826,33.24344,8.10176,NaN,NaN,NaN,37.25727,0.01360332,48.541,53.85004,30.14237,9.8,1.999998,NaN,2.41,NaN,0.3794861,29.71996,NaN,32.9127,89.25381,1,22089,20,25.3,4190155,3.287228e+09,NaN
