isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
AUT,136.1961,39.13622,13.22836,45.92449,103.44,69.69028,4.3,79.4481,100,100,2.5,0.5,NaN,4.845,NaN,27.9,44551.62,1.557239,1.457385,1.374733,75.36733,10.70825,NaN,28,26.02941,1.28129,0.5943067,65.864,67.31783,0.4319619,100,100,0.001228115,4.05,25.71534,NaN,0.743615,32.34543,53.97367,51.1785,15707,1122,2.3,6.35,8429991,3.865846e+11,1.148132e+09
AZE,35.09548,9.902016,4.243752,14.99648,91.57,61.23201,5.2,69.97778,84.5,84.7,2.5,NaN,6,3.4901,NaN,NaN,15888.67,-0.7780845,-1.252067,-0.1946449,22.55673,5.72184,NaN,NaN,NaN,7.701412,0.1202975,53.856,72.1197,40.41904,100,92.74387,6.357721e-05,2.42,12.95583,0.004771709,2.895612,6.292326,52.97468,25.28839,11538,1599,6.7,11.95,9295784,1.50414e+11,3.2624e+08
BDI,NaN,NaN,NaN,NaN,NaN,51.77806,7,37.00889,75.3,47.5,NaN,51.5,64.9,0.0477,NaN,33.9,748.0755,-1.311597,-0.8913693,0.6366849,60.07716,16.42836,NaN,NaN,NaN,0.02446705,0.005926176,11.189,53.15629,16.71798,6.5,1.999998,NaN,1.68,NaN,0.2399548,1.878091,NaN,9.700001,33.99999,7,4548,13.8,19.8,1.012457e+07,7.391278e+09,NaN
BEL,150.3917,31.94672,13.52549,48.50881,98.95,68.68255,7.5,81.22917,100,99.5,2.5,0.2,NaN,2.9397,0.01383974,25.6,40990.04,1.590693,1.34894,-0.08670092,77.67072,NaN,NaN,55,60.16624,1.342528,0.555706,97.732,65.66633,0.05846914,100,100,0.0009748167,4.12,25.71353,NaN,2.134477,34.99225,80.40449,80.34154,7625,1120,5.5,9.55,1.112825e+07,4.666147e+11,1.673596e+09
BEN,14.3195,4.812935,0.2748316,9.243276,64.48,53.57646,1,41.35556,76.2,18.4,10.8,38.5,36.2,0.1646,NaN,40.9,1855.936,-0.5264922,0.09363568,0.9723186,44.35152,25.02131,NaN,NaN,NaN,3.468784,0.021891,42.667,54.09701,5.361767,38.4,6.212926,NaN,2.57,14.47645,0.06904821,2.559725,2.953587,23.01717,31.73452,91,19591,21.7,27.55,1.004979e+07,1.835905e+10,1.43908e+08
BFA,NaN,NaN,NaN,NaN,80.54,51.12867,3.3,25.00333,81.7,18.6,20.3,32.2,40.1,0.0475,0.0009205095,34.4,1521.452,-0.6303672,-0.3354219,3.364587,55.94955,15.89539,NaN,NaN,NaN,2.949122,0.01271788,27.346,51.40244,18.56991,13.1,5.291492,NaN,2.4,15.6261,0.1135438,1.880634,NaN,25.51852,37.16053,304,17259,21.5,28.25,1.659081e+07,2.567676e+10,NaN
BGD,6.585825,0.8173782,0.3695798,3.45664,54.64,61.25034,4.5,44.68805,84.8,57.7,16.9,19,31.5,0.3879,0.0001369919,36.8,2791.172,-0.8250402,-0.4134826,5.236948,31.95123,14.6635,17.77091,NaN,37.08045,1.188103,0.003578722,31.99,64.13115,3.83704,59.6,10.90526,4.70509e-05,2.302273,8.685927,0.01615145,10.58794,NaN,20.16159,27.94933,269,19774,20.4,25,1.552574e+08,4.292528e+11,1.022498e+09
BGR,54.75406,16.75279,9.367924,19.34234,81.52,64.60148,12.3,74.94072,99.5,86,5.4,1.8,21,3.9121,0.002670723,33.2,15772.08,0.1362748,0.3841386,1.525915,56.2903,10.69092,NaN,11.4,14.49214,3.337236,0.4375418,72.971,67.23235,2.416745,100,88.50191,0.0002567792,3.2,18.60871,NaN,2.704311,21.86603,60.79919,63.99176,9350,3645,5.6,10.55,7305888,1.17609e+11,4.00027e+08
BHR,159.6586,33.70184,29.32189,31.98765,NaN,67.08559,3.7,71.39667,100,99.2,NaN,NaN,NaN,0.9568,0.003090935,NaN,40967.41,0.540372,-1.324512,0.01678467,63.27802,8.94804,NaN,NaN,57.11992,2.897678,0.3668907,88.619,77.32204,23.70512,97.69783,100,NaN,3.08,1.081071,NaN,NaN,NaN,102.1454,83.73905,NaN,NaN,20.5,27.15,1333577,5.466673e+10,2.12917e+08
BHS,NaN,NaN,NaN,NaN,90.8,64.87335,14,71.39547,98.4,92,NaN,NaN,NaN,2.264,0.007250502,48.6,30079.26,0.9682398,0.9176641,-0.1742303,44.39035,NaN,NaN,NaN,NaN,6.389859,0.3384508,82.667,70.79363,0.03796492,100,100,NaN,2.77,NaN,NaN,NaN,NaN,38.12695,46.12378,NaN,NaN,19.8,24.85,372388,8.652358e+09,NaN
BIH,35.0061,11.48725,4.325284,8.851173,88.96,65.68159,28.1,65.53182,99.5,94.8,2.5,0.1,17.9,1.9259,0.005988373,40.1,10061.13,-0.4680717,-0.1411553,0.07255077,71.23125,NaN,NaN,30,12.15314,2.27796,0.1782213,39.378,71.61348,4.084406,100,41.72257,1.436624e-05,2.86,20.50072,0.03451459,10.72631,38.9215,32.35054,55.79457,8106,3068,NaN,9.85,3828419,3.715486e+10,1.34018e+08
BLR,101.7301,18.02673,5.289518,33.61834,99.55,62.3163,5.9,81.99841,99.7,94.4,2.5,0,6.3,3.8809,0.009128487,23.1,17472.32,-0.9395957,-1.548103,3.762245,77.1882,13.18072,77.24999,NaN,NaN,2.300699,0.3379453,75.467,70.86088,2.602099,100,99.52535,0.0009485419,2.78,15.14021,0.001794023,1.655416,34.85947,78.77691,74.30836,15734,1485,2,6.15,9464000,1.629545e+11,9.62774e+08
BLZ,NaN,NaN,NaN,NaN,71.66,64.74073,14.4,68.88889,99.3,90.2,6.4,NaN,NaN,1.1494,0.008523731,47.1,7738.489,-0.1767883,0.6953493,0.584352,65.60983,NaN,39.38702,9.1,NaN,12.34107,0.1119519,44.496,61.88348,7.172131,100,85.89262,NaN,NaN,22.6444,0.01731261,4.826178,NaN,64.4528,63.80358,NaN,NaN,21,25.3,336707,2.73219e+09,NaN
BMU,NaN,NaN,NaN,NaN,88.67,71.05292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006898361,NaN,52137.3,0.997093,1.059505,-3.848958,NaN,NaN,NaN,23,26.85129,0.8598425,0.4045341,100,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,21.5037,NaN,46.76157,28.65509,NaN,NaN,16.6,NaN,64798,3.440625e+09,NaN
BOL,24.31759,9.076976,1.383175,5.294488,65.09,62.39392,2.7,67.35,88.5,48.4,22.7,6.9,43.3,0.4734,0.007861107,43.7,5715.525,-0.3737482,-0.1185448,3.50405,67.88505,17.82875,76.75464,39.1,16.41168,3.91355,0.06077825,67.279,60.04215,18.04076,90.5,76.21244,NaN,2.39,NaN,0.03075822,4.10025,NaN,47.1662,37.78256,4664,4481,15.2,21.55,1.023876e+07,6.040646e+10,2.48982e+08
BRA,46.4076,16.3666,4.220787,7.276,93.58,64.72601,6.1,66.13056,97.5,81.6,2.5,3.4,NaN,1.85375,0.007811026,45.5,15214.76,-0.1243111,0.4319696,1.94062,44.32147,15.56961,46.37658,16.9,49.88287,3.519648,0.1844387,84.901,68.49413,5.829902,99.5,94.27836,NaN,3.07,14.09373,0.0005919351,0.1131434,25.31249,11.87756,13.23673,123,13189,19.7,24.95,2.024016e+08,3.085867e+12,9.392971e+09
BRB,NaN,NaN,NaN,NaN,87.05,67.87273,11.6,73.97778,99.4,94.9,4.7,NaN,NaN,1.811,0.005682222,48.3,16270.09,1.452217,1.183499,0.1396179,65.16825,13.68958,NaN,NaN,104.8077,10.13618,0.3617764,31.769,67.38476,0.7874988,90.87544,99.82736,NaN,NaN,26.14156,NaN,2.807985,0.01964351,42.60596,47.15195,NaN,NaN,22.4,26,281580,4.413252e+09,NaN
BRN,195.4171,46.57076,26.59354,30.74385,90.57,65.76351,3.8,69.21111,NaN,NaN,2.8,NaN,NaN,1.4911,0.007469569,NaN,82149.91,0.8343759,-0.4996582,0.6314635,91.82088,9.72782,NaN,NaN,NaN,5.101633,0.5767301,76.223,71.93942,38.36057,76.16138,100,NaN,NaN,NaN,NaN,NaN,NaN,70.15923,35.47872,NaN,NaN,22.9,26.85,405512,3.008697e+10,7.9244e+07
BTN,NaN,NaN,NaN,NaN,NaN,62.68712,2.1,42.12444,98,49.4,NaN,3.3,12,0.2576,0.01422327,42.9,7547.826,0.4773473,-0.3123512,4.778862,72.92045,NaN,2.91698,NaN,NaN,1.336885,NaN,36.368,66.47771,20.02859,75.56256,62.65635,NaN,2.29,9.235527,0.08573798,0.9949448,NaN,38.72533,63.03859,NaN,NaN,1.2,7.4,743711,5.392971e+09,NaN
BWA,39.73093,14.43018,2.604999,13.22379,65.97,54.09661,17.7,61.9,96.1,62.4,25.1,14.25,19.3,0.392,0.008400138,58.9,14284.12,0.4473828,0.5029516,3.131008,63.06223,NaN,73.77427,NaN,NaN,5.824881,0.1539439,56.699,63.93708,3.995688,53.24,62.47225,NaN,2.82,26.85083,0.005207444,0.1236119,NaN,49.25074,61.40415,2590,6271,13.6,21.5,2132822,3.030955e+10,8.4739e+07
CAF,NaN,NaN,NaN,NaN,52.8,42.92502,6.9,31.78667,68.2,21.5,37.5,NaN,NaN,0.0547,0.004389653,NaN,1063.297,-1.461895,-1.263902,1.133108,48.80223,NaN,NaN,NaN,NaN,3.206468,NaN,39.258,56.12408,10.51367,10.8,3.21824,NaN,2.497619,9.392467,0.1088282,NaN,1.090552,11.55013,21.50932,41,15989,18.3,24.9,4619500,4.27634e+09,NaN
CAN,238.1354,71.90888,26.8228,68.72473,104.6,70.35905,7.2,85.03,99.8,99.8,2.5,0.3,NaN,2.3962,0.02999297,31.5,41845.18,1.753654,1.443793,1.335156,70.98055,NaN,NaN,29.3,112.9193,2.706688,0.6245778,81.293,68.90301,5.44478,100,100,8.002538e-05,3.99,11.77859,NaN,0.06878427,23.15766,30.42624,32.3203,16928,1417,-10.1,-5.35,3.475148e+07,1.464565e+12,8.275558e+09
CC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHE,103.6378,31.49048,16.14221,48.45051,92.1,71.17196,4.2,84.40892,100,99.9,2.5,0,NaN,3.8987,0.008936507,29.2,56149.69,1.876984,1.666388,0.3672123,64.705,16.09951,NaN,16.6,185.3657,3.950606,0.5865682,73.739,67.78964,0.03621561,100,100,0.00221812,3.98,9.505167,NaN,0.3631859,39.77486,67.03362,56.64877,18152,581,2,5.5,7996861,4.574634e+11,8.28777e+08
CHL,60.12611,17.96568,4.029402,17.84554,85.25,68.37154,6.4,74.56753,98.7,98.8,3.8,1.25,18.3,1.0328,0.004472168,46.1,21219.18,1.252296,1.063065,4.507768,48.02695,19.2781,85.89567,16.6,118.1327,10.72913,0.215258,88.986,68.69878,17.45634,99.6,92.96165,4.830797e-05,3.18,19.13027,0.0005255218,0.06419472,6.272499,34.12186,34.14999,11927,431,3.5,8.45,1.738844e+07,3.715926e+11,1.045499e+09
CHN,52.67705,7.39512,2.308979,13.69058,97.38,67.38379,4.5,60.96667,93.2,73.1,10.6,6.2,10.2,1.5467,0.003040203,40.7,11115.11,0.00636129,-1.585986,8.090412,55.95603,NaN,NaN,41.2,43.69582,2.850681,0.08086208,51.889,74.21851,7.111275,100,54.86806,0.000589059,3.61,10.3941,1.065266e-06,0.2016826,NaN,25.49252,22.775,9563,6427,0.9,6.95,1.350695e+09,1.51547e+13,7.115063e+10
