isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
CZE,100.6828,23.05441,9.764542,36.39947,86.86,66.71781,7,86.62222,100,99.1,2.5,0.1,8.6,3.6483,0.01243114,25.4,28527.14,0.9175432,0.9438059,0.3488421,84.0198,9.74072,,14.8,,4.569428,0.5142337,73.115,69.06468,0.7535504,100,99.99,0.0006571346,2.96,13.46926,,0.6825806,43.09545,76.17007,71.36739,13836,1394,3.3,7.55,10510790,301952900000,1058255000
DEU,114.5841,27.73804,12.87181,46.71444,101.81,69.70559,5.4,88.43719,100,99.2,2.5,0,,3.9152,0.008019812,28.8,42639.89,1.574946,1.394152,2.872956,76.06601,11.2171,,18.3,41.99086,1.849474,0.578645,74.688,65.90567,0.1924608,100,100,0.0009973164,4.26,11.57286,,0.4491566,54.36677,46.30712,40.20694,11711,969,4.6,8.5,80425820,3506575000000,9215519000
DJI,,,,,64.28,57.05684,,30.58778,89.9,47.3,20.2,16.2,,0.22465,,39,,-1.096271,-1.416969,3.279877,58.77743,,21.8504,,,8.126151,,77.117,62.57853,1.776645,53.26256,84.27214,,1.51,,0.1170188,2.457507,,,,,,22.8,28,853069,2501397000,
DMA,,,,,81.14,64.47754,,60.7498,,,5.9,,,,0.02109228,43.5,10134.37,0.6603047,0.9745826,-0.9898007,68.52083,,,,,4.771868,,68.681,,0.09628668,92.66676,93.80656,,,23.10687,0.05413318,4.791758,,34.06612,49.62875,,,18.9,22.35,71685,731636800,
DNK,103.296,30.06489,13.12547,47.37004,103.81,69.22346,7.5,87.28261,100,99.6,2.5,0,,3.6461,,25.1,44336.82,1.965262,1.692594,0.1421928,85.75943,,,69.8,,0.8473313,0.4837638,87.142,64.95116,2.139176,100,100,0.001367057,4.07,33.33044,,0.3918543,2.746726,54.63049,48.61048,8519,366,4.3,7.5,5591572,247406500000,577587000
DOM,23.06363,9.148564,2.934111,7.151427,56.08,64.62801,14.7,59.01706,85.4,82.9,13.6,3.1,41,1.4943,,45.3,11754.27,-0.5501992,0.08700065,1.416659,63.36142,,35.54824,10.3,,5.637254,0.1411524,76.039,62.93089,0.9948967,98,90.54108,,2.61,13.07312,0.004795017,7.033736,1.58006,24.58318,33.8055,1,21353,19.9,24.55,10155040,119220700000,234212000
DZA,34.09932,13.56217,1.419894,9.175755,90.18,65.73222,11,64.25889,84.9,87,4.9,0.8,5.5,1.207,0.003035703,28.5,13229.01,-0.5471287,-0.897813,1.198161,73.58242,,,,,0.7177331,0.1210756,68.87,66.73442,30.17796,100,99.99,0.0000277782,2.02,37.18585,0.000873764,0.1027716,,36.8898,28.51406,4743,4777,15.4,22.5,37439430,503655900000,1276659000
ECU,29.68249,15.11509,2.277183,5.77386,60.86,66.09826,4.1,59.38375,85.9,82.8,8.3,4.1,27.3,1.6654,,43,10285.87,-0.5100547,-0.3278479,5.057728,45.64174,10.34829,73.97964,,,0.6449113,0.1266579,63.088,63.65444,18.44981,97.2,96.17735,,2.62,,0.001970196,2.816308,,30.16481,31.5863,10,5779,15.6,21.85,15419490,162096400000,457689000
EGY,27.307,8.299399,3.935786,7.24418,103.78,59.99593,12.7,57.34444,98.8,94.7,4.4,3,26.3,1.812,0.001604349,47.3,9981.552,-0.8003782,-0.7654077,-0.1735151,36.06677,,,43.2,21.41533,1.012363,0.05449997,43.002,62.70658,11.43976,100,99.99,0.0004767286,3.07,12.52022,0.0081559,6.960799,,16.39697,24.3148,1948,7789,14.8,22.1,85660900,878240300000,2339142000
ERI,,,,,,51.73645,7.1,22.75137,57.5,15.3,,,,,,,2102.954,-1.511464,-2.1544,6.412911,46.49814,,,,,,,,,,36.0768,36.13269,,1.83,,,,,,,13,15348,18.9,25.5,,,21994000
ESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,
ESP,75.78224,26.4501,11.95517,22.87171,104.68,71.5136,25.2,79.4397,100,99.9,2.5,0.8,,3.8165,0.01460617,34.1,30904.79,1.107991,1.040571,-2.01962,71.72993,9.22981,,17,74.26328,1.859401,0.5875391,78.902,67.43711,0.1483231,100,100,0.0004786303,3.74,13.44777,,0.1555416,75.11407,31.45527,29.3901,7216,2604,7.9,13.3,46773060,1507757000000,3544567000
EST,92.65395,23.97754,12.22806,44.16132,97.75,65.71936,10.1,85.85333,99.5,97.2,3,0.6,21.8,3.278,0.04416132,33.4,25643.35,0.9607759,1.090193,6.72853,80.38232,12.05791,,6,,7.728637,0.5250556,67.835,66.51725,3.015616,100,88.33655,0.0001791795,2.79,1.025485,,1.991948,34.18829,85.56757,83.9242,16781,470,1.5,5.1,1322696,34285640000,122553000
ETH,16.80468,0.5082806,0.1184603,15.78375,61.94,56.62041,5.6,31.6522,51.6,24.3,28.9,28,29.6,0.022,0.001197663,28.6,1226.823,-0.4356956,-1.280015,7.110775,57.38248,30.53954,13.24795,9.6,,0.6431729,0.001540277,18.16,53.31366,15.50162,26.56256,2.191234,,2.22,9.209358,0.08969834,1.441585,,13.7673,31.63061,149,5309,15.5,22.2,92191210,115855100000,1549244000
FIN,194.4183,32.61396,26.74359,65.06278,116.36,68.99416,7.6,81.50889,100,97.6,2.5,0,,3.0693,0.08385712,25.5,40153.57,2.21447,1.617882,0.08128881,75.72231,12.81075,,67.3,,1.921589,0.4907496,83.819,65.33988,1.522931,100,100,0.000745294,4.12,20.26097,,0.335959,32.77745,38.80828,40.36222,19340,274,-2.4,1.7,5413971,218928000000,1052575000
